Province,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AvgBeta
Chiang Rai,19.883,99.833,0.158,0.183,0.332,0.182,0.036,0.014,0.033,0.061,0.082,0.089,0.071,0.108,0.112
Chiang Mai,18.780,98.980,0.135,0.167,0.241,0.205,0.164,0.100,0.070,0.106,0.130,0.150,0.154,0.153,0.148
Mae Hong Son,19.300,97.833,0.164,0.171,0.314,0.207,0.059,0.049,0.074,0.080,0.093,0.115,0.126,0.151,0.134
Mae Sariang,18.167,97.933,0.342,0.355,0.424,0.333,0.187,0.161,0.195,0.203,0.252,0.284,0.300,0.357,0.283
Lampang,18.283,99.517,0.205,0.202,0.184,0.111,0.068,0.050,0.059,0.070,0.111,0.161,0.155,0.175,0.129
Nan,18.767,100.767,0.271,0.284,0.329,0.220,0.076,0.037,0.056,0.086,0.110,0.144,0.158,0.185,0.163
Phare,18.167,100.167,0.245,0.264,0.281,0.190,0.112,0.074,0.083,0.100,0.133,0.177,0.193,0.244,0.175
Uttaradit,17.617,100.100,0.293,0.328,0.321,0.213,0.077,0.019,0.057,0.065,0.095,0.124,0.123,0.160,0.156
Tak,16.883,99.150,0.318,0.292,0.256,0.220,0.112,0.067,0.082,0.095,0.107,0.178,0.227,0.269,0.185
Phitsanulok,16.783,100.267,0.237,0.233,0.216,0.171,0.120,0.084,0.094,0.101,0.110,0.127,0.168,0.196,0.155
Nmae Sot,16.667,98.550,0.251,0.246,0.260,0.182,0.103,0.081,0.104,0.111,0.123,0.158,0.165,0.214,0.167
Phetchabun,16.433,101.150,0.310,0.318,0.320,0.225,0.134,0.099,0.109,0.111,0.125,0.132,0.182,0.205,0.189
Phumipol Dam,17.250,99.017,0.211,0.210,0.188,0.132,0.068,0.049,0.054,0.062,0.078,0.116,0.145,0.174,0.124
Nong Khai,17.867,102.717,0.188,0.175,0.193,0.091,0.058,0.051,0.065,0.066,0.076,0.086,0.114,0.160,0.110
Loei,17.450,101.733,0.277,0.310,0.353,0.242,0.105,0.049,0.052,0.075,0.126,0.155,0.174,0.225,0.179
Ubon Rachathani,15.250,104.870,0.108,0.155,0.223,0.200,0.090,0.053,0.070,0.076,0.090,0.100,0.096,0.094,0.113
