sitename,month 1,month 2,month 3,month 4,month 5,month 6,month 7,month 8,month 9,month 10,month 11,month 12
site001,3.7563208768606895,4.3538916003108294,4.581950158677259,4.515146436872953,4.369331986529815,3.8984031672367347,3.9114775517810316,3.995062928504119,3.36319901971744,3.9775673545511574,2.962043120405149,3.364771704835348
site002,3.3855233614786306,4.355885377864394,4.25553817317746,4.434888102843933,4.465017526931251,3.8248799874455663,2.5286368422365224,3.4352760277865153,3.1915165506758374,3.6253177592921424,2.852643034682045,2.4682505179352856
site003,3.320900006490531,3.9462845605154255,4.025274193038579,4.658340075683054,4.317888364147701,4.158421038550929,4.170445437835403,3.2917371720211803,1.6040608330686006,3.3154287395554234,3.102018588840695,3.512186468667176
site004,3.5769202599678787,4.233084465363713,4.416476398899807,4.463465386841465,4.173803058983307,3.697356525371421,3.5156021800983672,3.7732074408628398,3.883121446260998,3.720784175037633,2.9848320248796836,3.3934192199407773
site005,3.138609418961283,3.7571198493643005,3.9978002541717994,4.48980783340536,4.3423017130299355,4.3273549991488585,3.548277373072767,3.900753373947788,3.4626648561530553,3.024576338358322,3.024576338358322,3.024576338358322
site006,4.35123615639107,4.470362453346525,4.5803523967741135,4.8252480937729825,4.555403164540279,4.042307222552926,3.918239809366908,3.6976049007043383,3.2121884739384408,4.228699099758627,4.067416266154524,4.1354570465801075
site007,3.022081556036823,3.5332613989694193,3.752261656821636,3.9274176299358565,4.329061944777068,3.8197296826247085,4.372492180355981,3.2874428472784123,3.3092373792728824,3.3503986033822346,2.815895930319499,2.743919596402322
site008,3.177812541749426,3.728311844306299,3.942291302603841,4.124777648355096,4.314922711144146,4.089912670757913,3.7681211976288145,2.457364481642187,3.1634066398356846,3.4595367480898194,2.944145529415723,2.9422361854008856
site009,3.0239367773895727,3.2088742814939413,3.9956895882252184,3.824198113502632,3.9746824334471373,3.503468990251224,3.789304835667504,3.539110847090531,2.7846206771355715,3.123001854743924,2.7776704768254312,3.146726347245175
site010,3.375604804710991,3.976915520660488,4.205476461475255,4.339337869111723,4.142979986619852,3.6652391505044823,3.527499946540217,3.456211420138069,3.2538663569794295,3.7417117091689582,3.0342510997341363,3.1348233968743826
site011,3.248315724114679,3.908284694287812,3.821678540897172,4.3842286135475135,4.497973768069445,3.5975709303427137,4.24920145422955,3.9142117790332573,4.068844224413912,2.7849299974411847,2.0328958356381372,2.685287307282633
site012,2.3682818061100464,3.174488354558682,4.157504554556833,4.178851566418846,4.5856964417251325,3.7659728826596193,3.8601831949178,3.275670318292347,2.835992267789293,2.8747076462992593,2.350689597854001,2.38085903831302
site013,2.0517144873585464,2.5933810195641196,3.1144431141533615,3.075952920577668,2.3589332489631754,3.5365344754883434,3.5365344754883434,3.5365344754883434,3.5365344754883434,3.5365344754883434,3.5365344754883434,3.5365344754883434
site014,1.9524522959478252,2.2352761472065428,2.903817121421868,3.086308577380761,2.845328566195314,3.1928616697725323,2.9954585397796993,2.2790412323257483,2.31936146042768,2.179263027880541,2.401203757653629,1.8528304976664283
site015,2.811983060059846,2.8582824354770255,3.4616327113589564,3.296288967841895,3.1309452243248344,3.750699841703527,4.346836675430204,3.2162129753817705,2.515764825469896,3.007675592313781,2.961947369189123,3.2159964122406484
site016,3.077373867610057,3.8213291006571506,4.080124858554453,4.319527356813839,4.115486870576698,3.674516963422619,3.228699460843301,2.785834428172105,3.0407931228273912,3.4991298504771655,3.437015167903174,3.2131039289571577
site017,2.651508275085818,3.463430082025027,3.704151422475199,3.5530900263641705,3.612406959212828,3.748088873572774,2.975496707785372,3.158201160546742,2.8868306310869993,2.0962837247186603,2.4978613609638542,2.610836438466239
site018,2.0650749355198164,2.7531794199524913,3.650050661961755,3.6849893224619215,3.889357022265688,3.4652039975562365,3.0977469660074144,3.10451166150373,2.747189283029645,2.618344835844551,2.1445388634614844,2.064996102586289
site019,3.2749844672888964,3.348035570639343,3.994547276359248,4.020019406862064,4.124562221181055,3.5617657352998155,3.585891134069601,3.1846711290658845,2.8716660825507523,3.297946673508994,2.9405105646581857,3.2577500260144596
site020,2.622112524720604,2.6243516128241646,2.5900498108134644,2.5557480088027638,2.5214462067920635,1.8117699329755437,3.185198021060203,4.558626109144863,4.099041273533681,3.488311806367521,3.1893747850248704,3.1217163518463633
site021,3.1539322266458547,3.1644844592846844,3.07590266223214,3.8752469153549525,3.3067969094076712,3.640253574666794,3.02473977751999,3.2941861304435474,3.116605008423364,3.011211675801291,2.998290487466515,3.1867289546103565
site022,2.337474234477446,2.5768393491284316,3.3166141005960963,3.9697748251489315,3.2542341355710844,3.559481077720441,3.944781481301808,3.550289399495054,2.549070326922293,2.7153298133531445,2.2615489841172254,2.28517296596808
site023,4.114512887037786,4.606512606689863,4.644316125145722,4.791725485846667,4.434550062530525,4.0191553859366715,4.127018001215379,3.9152668204787267,3.3220946170168966,4.1663507704754394,3.7288224715328395,3.8223504772350885
site024,2.015161663117563,2.880826650406736,3.1938372721675727,2.937574901664345,3.187233117533527,3.3611069805267473,4.269958809002727,3.11043670361264,3.298073120593423,2.5232178638344207,1.8832883291014015,2.002866763588574
site025,2.733261027534532,3.292248679432815,3.7735220489950727,3.687704951789611,3.964644860116451,3.724366957560549,3.652790854932372,3.377267394065107,3.1973513523456627,3.097227319197003,2.623097677073966,2.4558867786654566
site026,2.5403518980620134,2.433461198886144,1.7186500692922613,2.890244867814889,3.1897902960408677,3.489335724266846,2.7761920159951545,2.0630483077234625,2.392099741369975,2.518348993251457,2.3666875868864943,2.4657548091304022
site027,1.5624583422759157,1.424667065809234,1.9967997638630852,1.2797885044548447,0.5627772450466041,2.0125494169664075,2.953969971858276,1.9310104115183429,0.7443376139255342,1.8252683492015738,1.675343174900226,2.044101301247509
site028,1.934435634362458,1.842945472154801,4.07445964557497,3.52106619766132,2.9676727497476696,2.538650774872684,3.5855623472353404,2.5289413110624372,1.4249293266571748,2.5235573469061765,2.2419323458891767,2.4281770055650105
site029,2.6712042729743146,2.818908720259687,3.2529490618129255,4.397324831621388,3.716022531986039,3.7287925084987394,3.3875217492788146,3.167547438608904,2.9553775006093015,3.6134851812440476,2.885692196412574,2.822462438445835
site030,2.8536087424062844,3.284294603193684,3.259021038526219,3.501273511389652,3.276780934843457,3.130634474911347,3.291956952295834,2.8691152941298683,2.933553350874358,3.2201601444426697,2.9594498896962023,2.8833637640680627
site031,2.6804702412320953,3.2571533865501685,3.863672503160619,4.100509297401844,3.976749173678934,3.4412794020039983,3.4836955838230677,3.22735255267886,3.697156123353564,3.3466764747373374,3.0900517686681974,2.759466183671859
site033,3.2054251700121936,3.3981271746965493,3.7543549332679484,5.056856350040698,3.945754435510675,3.2817588452662116,3.3425496711270575,3.2017079394198533,2.2104088783153237,3.046399518352964,2.4447973975846535,2.709777846285988
site034,2.8349295105987067,2.4377430499854222,3.3396117552607865,3.4239755818108217,3.9651962001600327,3.7950957314973364,3.412843189332419,3.9434750316202503,3.600173523036264,2.8096925244391673,2.739975734106039,2.179324039048856
site035,3.7257436682826626,4.196229682942203,4.499333380770415,4.82722380099456,4.383688821934606,3.847218348472353,4.195590415114453,3.6988656657134134,3.5621502658359976,4.1270966466107195,3.74430818758098,3.673639726719532
site036,4.054590433053364,4.348280725187562,4.581363271569298,4.702147124947617,4.872908198603549,4.322776965273295,4.066198191305483,3.4996351224398548,4.218140418113659,3.950728640220271,3.2188274357890667,3.3460621524697975
site037,2.9551424946507785,3.43760125190186,3.7408888046678794,3.9629040759508185,3.1419273253039637,3.522134365768291,3.1270174159919133,3.1586485807577507,3.010766737383919,3.2793715677595356,3.0088771449742584,3.0354362577495984
site038,2.8914672172089753,3.5717779135217254,4.200892267725421,4.467560705610807,3.947620270043811,3.712769493417492,3.6133716344318607,3.433335945937257,3.142697315347229,3.1730231304571985,2.7154320841895934,2.7875835091398264
site039,1.873024377386702,2.3081917847407865,2.7083259185344564,3.061842783613344,2.3921799181567835,1.7225170527002232,2.676379091348457,2.408074144264136,2.1397691971798145,2.306003199359158,1.922729378297697,1.9389904467394905
site040,3.2330554417321564,3.68546814372367,3.9989316717093457,4.130734126971718,4.3154106762991695,3.914972708188293,3.8723683175441246,3.7477405886224795,3.477101614358825,3.13980965993499,2.5818495459636583,2.8037542940433866
site041,2.6732063790799,3.511894996180286,4.485220164703486,4.724018480878512,4.782365342536947,3.8217437511611925,3.596985408675483,3.66340087205006,3.3787610108824517,3.1107779642552624,2.5386210744119215,2.5367306009344235
site042,3.157672400652971,4.065310016077006,4.369547072810544,4.571318577325177,4.705698523816829,4.194043691596403,3.621452040422761,3.385971731567448,2.9450352102280437,3.524708109457952,2.9092885912547146,2.9654681452568448
site043,3.081708351246567,3.6294660662715206,3.9945234069638795,3.958743832189611,4.135163653722357,4.116536439061145,4.392125235143596,3.7204207495310238,3.270354240356831,3.333508702460556,2.9784183910616515,2.870745568113985
site044,2.6924566437449977,3.550523528651385,4.263919641247221,4.049739399706788,4.265140996780499,3.866837357852943,3.6951121045904967,3.1483964507488595,3.556363504643049,3.312204483130196,2.5557855131524403,2.551252368542705
site046,3.107757230353197,4.0561581722835625,4.313618083081792,3.9914166205614268,4.339016568159627,4.227060089255455,3.4413036478354075,3.5133882082115737,3.58547276858774,3.657557328963906,3.1065470937701005,3.071516391018162
site047,2.1897994514352543,3.4723018981629696,4.211647800451252,4.6807528763359585,4.571427436284632,5.1464984797965645,1.5214239746327192,4.627253018170995,3.1809934767412362,3.041839876527583,2.0234984541642875,1.7047807437710862
site048,5.804650712416863,6.110393828706346,5.655326805115691,5.3194648195802205,4.868043303151206,3.871064638291661,4.409243100311114,3.1047440697340765,3.706038331643942,4.237680453698365,5.109266410824787,5.401154214755233
site049,1.7252072607519418,2.7403582183901216,3.357391730313563,3.7974122952289804,2.3529945222040447,4.673347943684053,4.373097865861383,3.7287574846146256,3.0844171033678687,2.78258132299461,1.9844141490641574,1.762084785174376
site050,2.829585402875833,3.5222080959140967,3.9851765847486305,4.2034239313395965,4.456187916715712,4.183423226209049,2.5175975809085425,3.9264532304336877,3.5441638772661066,2.875262671176056,2.3196361403287327,2.4584472129009307
site051,3.024311419424922,3.7127577977857658,3.77013177876293,4.072913822349353,4.343895115822699,3.9459926583298115,3.3058583766791636,3.9607710674331997,3.407010507610232,2.946605307751967,2.4981775934443924,2.6396593004692153
site052,2.841646113967894,3.737336300178441,3.839531631708575,4.44681428028896,4.446696842094366,4.520013198639116,3.9884374545805206,3.607438314129382,2.564552864005078,3.0012643880522485,2.371822049245591,2.3858927467657676
site053,3.002859828977637,3.860855404566093,4.119823536123888,4.605101959800111,4.438425780175647,4.159886388990211,4.148957387252479,3.6357942402245285,2.9449954788442576,3.625353473580146,2.798921884632418,2.788174219730973
site055,1.461145994604944,2.4047912395443456,3.364377390087988,3.8355953892045687,4.562807172639799,4.832887375304354,3.7667556511557247,4.054173973831784,2.7408437718673353,1.6809622172119223,1.0240126059235106,0.7998143806697221
site056,2.4018941354435306,3.300717568372604,3.605476870896135,3.8240350883485923,3.635975172555231,3.484787715751129,3.2454397574765057,2.7634643019428053,2.3059087843787327,2.5441254423710666,2.582199432117713,2.5727374996276065
